nome;cognome;username;passwordHash;dataNascita;domicilio;ruolo
Mario;Rossi;mrossi;ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f;01/01/1980;Milano;proiezionista
Laura;Bianchi;lbianchi;ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f;15/06/1975;Varese;proiezionista
Anna;Verdi;averdi;ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f;20/03/1990;Como;bigliettaio
Luca;Neri;lneri;ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f;05/11/1988;Varese;bigliettaio
Sara;Gialli;sgialli;ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f;12/07/1993;Milano;bigliettaio
Paolo;Marini;pmarini;ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f;30/09/1985;Gallarate;bigliettaio
Elena;Ferri;eferri;ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f;22/02/1991;Busto Arsizio;bigliettaio
Juan;Redondo;JuAndres;03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4;;via luigi cadorna 29;cliente
ale;mar;alemar;a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3;24/04/2006;ger;cliente
ale;mar;alem;a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3;24/04/2006;ger;cliente
